评论数,阅读数,时间,标题,内容
4,1673,2017-12-27,明天3258.80见收,"
                            
                            明天3258.80见收，本轮调整结束。。。。。。。 
                        "
11,7027,2017-12-26,一阳三线！后市中期看好！ 农历年前这一波中线,"
                            
                            一阳三线！后市中期看好！农历年前这一波中线，抓好了，整体仓位获利10个点应该是最低要求。老实说一个中线上攻波段你赚不了10个点，那么也就没有炒股票的必要了。年前至少有一个月的震荡上攻行情。希望股友们能够好好的抓住年前的小行情，好好的过个年！ 
                        "
553,266979,2017-09-24,上善若水，利万物而不争[好逊][好逊] 老子说：,"
                            
                            上善若水，利万物而不争老子说：上善若水，利万物而不争。在老子看来，世间万物，最值得推崇的就是水。水造福万物，滋润万物，“到江送客棹，出岳润民田。”却甘居低洼，不与万物争高下。水是生命之源。有了水的滋养，生命才能繁衍。自古以来，人类就懂得择水而居，沿河湖而居。水是最重要的营养物质，其虽低廉，对生命的重要性，却远远超越了蛋白质，碳水化合物，脂肪，维生素，矿物质，居最首。古代所说的人生四大喜事，乃：""久旱逢甘雨，他乡遇故知，洞房花烛夜，金榜题名时。""可以想象，干渴龟裂的土地，迎来酣畅淋漓的甘霖，是多么令人欣喜。然而这么不可或缺的水，却是最默默无闻，谦虚低调的。人往高处走，水往低处流。无论江河，都奔腾不息，流向最低洼最卑微的地方。水又是最温柔多情的。人们总把山与水相提并论，然而，山是刚硬的，铁骨铮铮，水却是柔弱的，柔若无骨。水随山势，蜿蜒盘旋，山是什么形态，水就是什么形态，不计险恶，无孔不入。水之对于山，迁就，妥协，无条件接受，不离不弃，随遇而安。是可谓，世上最温柔之物莫过于水矣！李白有诗云：""月下飞天镜，云生结海楼。仍怜故乡水，万里送行舟。""故乡的水，不远万里，脉脉相送，是何等的深情。所以说，柔情似水，似水柔情，人们把最温柔的女子描写为目如秋水，双瞳剪水，水是眼波横，山是眉峰聚，山水之间亦是眉目含情。水还是最清澈纯洁的。吴均的《与朱元思书》中说，水皆缥碧，千丈见底。游鱼细石，直视无碍。另外还有诗云：湖清霜镜晓，涛白雪山来 ；楚水清若空，遥将碧海通；水心如镜面，千里无纤毫 。把水之清描写得淋漓尽致。任何污物，以水濯洗， 都会变得清洁如新，水是最能包容的，洁净了它物，不惜污浊了自己。水亦是最平淡无味的，但却比任何酸甜浓烈的饮料更有益健康，一日不可或缺。交友亦是如此。有句话叫君子之交淡如水。真心的朋友往往没有最浓的感情，也许你并不觉得离开他寸步难行，但他却总淡淡地陪在你左右，淡淡地为你化解烦忧，淡淡地包容着你的过失，没有所图，也不图所报，只是为你默默付出。一颗真心一片真情，就象一潭清水，至善至柔；绵绵密密，微则无声，巨则汹涌；看似平静，其实暗流涌动；看似很浅，其实很深；看似浑厚，其实清澈；看似冷冽，其实温暖；看似很远，却又很近；看似无情，却似深情；看似惊涛骇浪，却又波澜不惊。水又是最美的。水，看似柔若无骨，却能变得气势滚滚，波涌浪叠，浩浩汤汤，波光鳞鳞；看似无色无味，却能孕育出茫茫绿野，累累硕果，万紫千红；看似身处低下，却能蒸腾九霄，为云为雨，为虹为霞，云蒸霞蔚，气象万千。“上善若水，水善利万物而不争”。我们做人也应如此。在最恶劣、最困难的处境下，仍然不忘默默地为他人付出。不仅""达则兼济天下 ，穷则独善其身""，还能“居庙堂之高则忧其民，处江湖之远则忧其君”，无论自己身处何境，对这个世界都充满仁爱之心，爱身边的每一个人，不求回报，不争虚名，心中有情，便自有一番良辰美景在心头。上善若水，利万物而不争。 
"
43,25946,2017-11-23,隆冬来了，春天还远吗？ 近三年的狂轰滥炸，绩,"
                            
                            隆冬来了，春天还远吗？近三年的狂轰滥炸，绩优股、质优股被扎进了泥潭，阻碍了质优公司的发展，伤了投资者的心。近几周新股的发行，由9家95亿缩减到7家54亿，又收紧至5家32亿，现在再减至5家30亿。 调整？ 纠错？ 纠错式调整？ 调整式纠错吧？！反正越来越少，也越来越小。而且1p0审核趋严成常态化，下一步应该审核责任终身制。优质的小盘股、次新股的春天来临！  (股市有风险，投资需谨慎) 
                        "
16,8706,2017-12-11,公司、股市、投资者三位一体的辩证关系 新股发,"
                            
                            公司、股市、投资者三位一体的辩证关系新股发行上市的本质是为公司发展输血，上市公司为股市造血，长效双赢:1.严格控制新股发行数量和质量；2.严格控制扩股，出售资产必须缩股；3.加大现金分红力度，现金分红除权不除价；4.事后监督着力防止上市公司瞒报营业额、缩减利润、分流抽取利润；5.大股东及一致行动人持股比例不得低于51%！公司、股市、投资者三位一体、缺一不可，又互为发展、相互促进。(股市有风险，投资须谨慎)《纯属个人研究总结，转载请注明出处。》 
                        "
85,37607,2017-12-28,在这个浮躁的世界上，哗众取宠永远会被不明真相,"
                            
                            曾经有一些高喊大牛市来了的股神已经销声匿迹，若隐若现，现在他们的追随者基本都处在套牢的水深火热之中，然而，这并不是故事的结束，以后，还会有同样的故事重演，这种悲剧，我只能深感无奈，因为，你危险来临的时候，发出的一次次的呼吁，被掩盖在嘈杂的喧嚣中，甚至还会有很多无德无耻之徒过来嘲笑你。到底是不是事实，以前的帖子为证，危险来的时候，我是空仓时间比较久的，很多朋友不理解，也就不会听你的劝，真的无能为力，只能尽力而为。 
                        "
1,1930,2017-09-21,至尊宝为了保护紫霞仙子[牛][牛][牛],"
                            
                            至尊宝为了保护紫霞仙子
"
12,7000,2017-05-10,黎明前的黑暗是漫长而煎熬的,"
钝刀割肉.瀑布式下跌轮番袭来，痛苦绝望磨人行情股民身心疲惫，黎明前的黑暗是漫长而难熬的，持有现金轻仓等待更好的入场时机，东山再起打好翻身战！ 
                        "
15,10192,2017-05-06,黎明前的黑暗是漫长而煎熬,"
钝刀割肉.瀑布式下跌轮番袭来，痛苦绝望磨人行情股民身心疲惫，黎明前的黑暗是漫长而难熬的，持有现金轻仓等待更好的入场时机，东山再起打好翻身战！ 
                        "
3,2562,2017-05-24,为了养老金......牺牲你们赌徒是值得的！,"
                            
                            为了养老金......牺牲你们赌徒是值得的！ 
                        "
173,31788,2017-09-19,@俺的杠杆树123 俺哥[胜利]宵夜，来餐牛排～牛,"
@俺的杠杆树123 俺哥宵夜，来餐牛排～牛起来 
"
5,2359,2017-12-24,牛鬼蛇神越来越多。最宝贵的东西--时间 切莫 都,"
                            
                            切记。送给想来看看观点的小散。“神剑” “谷东昇”或可一看。“賎二”也好。可惜她不怎么发帖。“天堂湖”也好，很难看到。送给珍惜时间的小散 ！！！！真心花时间写的。 
                        "
49,19534,2017-09-12,借款一百万，月息十个点；只做超短线，看我来操,"
                            
                            借款一百万，月息十个点；只做超短线，看我来操盘→今日收盘仓位，满仓985000。现总余额985000。 
"
2,1217,2017-12-21,大盘K线，晨星已出！,"
                            
                            楼市热钱 道琼斯热钱 社保热钱 比特币热钱 制造业热钱 国际军火热钱 金市热钱七股洪流涌向中国股市！嘉欣丝绸总分红率远高于贵州茅台，嘉欣丝绸智能升级，它是世界首富奥特加集团的供应商。金鹰股份垄断全球亚麻油（亚麻酸最高的食用油）！ 
                        "
27,9895,2017-05-09,本周补仓周，不用讲概率,"
                            
                            本周补仓周，不用讲概率 
                        "
2,2508,2017-05-17,5月行情羞答答，含苞待放孕新蕊[微笑],"
                            
                            5月行情羞答答，含苞待放孕新蕊
"
7,1824,2017-11-16,咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百,"
                            
                            咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488。 狂笑 可暴涨5倍 市值仅270亿，全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升三季报后券商们纷纷在20元附近给出买入增持，安信给出6个月目标价25.8元 
                        "
12,1672,2017-11-16,咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百,"
                            
                            咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488。 狂笑 可暴涨5倍 市值仅270亿，全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升三季报后券商们纷纷在20元附近给出买入增持，安信给出6个月目标价25.8元 
                        "
10,1377,2017-11-16,咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 ,"
                            
                            咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488。 狂笑 可暴涨5倍 市值仅270亿，全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升三季报后券商们纷纷在20元附近给出买入增持，安信给出6个月目标价25.8元 
                        "
11,2478,2017-11-16,咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨,"
                            
                            咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488。 狂笑 可暴涨5倍 市值仅270亿，全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升三季报后券商们纷纷在20元附近给出买入增持，安信给出6个月目标价25.8元 
                        "
12,2308,2017-11-16,咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣,"
                            
                            咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488。 狂笑 可暴涨5倍 市值仅270亿，全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升三季报后券商们纷纷在20元附近给出买入增持，安信给出6个月目标价25.8元 
                        "
17,2274,2017-11-16,狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 ,"
                            
                            咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488。 狂笑 可暴涨5倍 市值仅270亿，全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升三季报后券商们纷纷在20元附近给出买入增持，安信给出6个月目标价25.8元 
                        "
15,4043,2017-11-15,删贴了 笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣,"
                            
                            删贴了 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488 全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升我要评论转发赞收藏本帖 
                        "
18,3632,2017-11-15,删贴了 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨,"
                            
                            删贴了 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488 全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升我要评论转发赞收藏本帖 
                        "
17,3465,2017-11-15,咯咯咯咯 持有7个月又何妨？收益是银行理财三倍,"
                            
                            咯咯咯咯 持有7个月又何妨？收益是银行理财三倍 晨鸣纸业（000488）17元买入，明年6月分红绝对收益6%，年化收益率12％左右 ，为低价定增作最后打压脑子有病怕黄金砸？即使按照隐瞒巨额利润算，现价明年6月分红收益6％，年化收益率超12％咯咯咯咯咯 狂笑 瞎子狂笑 市值270亿 利润冲百亿 晨鸣纸业 000488。 狂笑 可暴涨5倍 市值仅270亿，全年利润有望冲百亿，明年150亿？。 前三年业绩都翻倍。 市值270亿，前三季实际利润57亿，全年有望利润冲击百亿。 明年有望冲击150亿？辽宁镁矿储量3800万吨，价值7000亿，200万亩自有林600万亩合作丰速生林价值一旦重估至少价值千亿。脑子不要进水！单淡季三季利已超32亿，照此速度明年利润超150亿？。 三季报表每股0.41元，应收票据贴隐瞒利润24亿元。 今年底镁矿投产赶上镁价暴涨，明年山东本部50万吨投产，湖北黄岗一期投产，又将为公司创造天量利润，今年十月纸价又二次大幅提价，在大环保压力下中小纸企纷纷关门，今后多年纸价将保持极高的景气度，去年毛利达惊人的83％的公司融资租赁去年创净利10亿元，今年又将大幅提升三季报后券商们纷纷在20元附近给出买入增持，安信给出6个月目标价25.8元 
                        "
83,29303,2017-12-29,12.29日提示_建仓青龙管业_11.68建仓价,"
                            
                            高抛低吸，持仓为主。 
                        "
20,9267,2017-01-19,涨婷妃无为大师哪去了？,"
                            
                            涨婷妃无为大师哪去了？ 
                        "
28,9614,2017-01-17,2017年大小非解禁总市值2.7264万亿元,"
                            
                            2017年大小非解禁总市值2.7264万亿元 
                        "
61,7326,2017-12-28,世界投资先锋，法国兴业银行外资强势投资者，世,"
                            
                            世界投资先锋，法国兴业银行外资强势投资者，世界最灵敏的投资者，南华仪器300417破世界资金看中，偷偷买入曝光了，中小散前来抄底。空头仓位被洗却一空，后市上涨无法阻挡。 
                        "
5,2123,2017-12-18,严重错杀扭曲!江浙游资猛扫次新军工股安达维尔!,"
                            
                            严重错杀扭曲!江浙游资猛扫次新军 
                        "
5,2025,2017-04-05,强势涨停机构游资敢死队疯狂抢筹高送转暴涨次新,"
强势涨停机构游资敢死队疯狂抢筹高送转暴涨次新大黑马*思特奇*数字认证*恒锋信息
"
37,9463,2017-01-26,强势涨停机构游资敢死队疯狂抢筹高送转暴涨次新,"
                            
                            强势涨停机构游资敢死队疯狂抢筹高送转暴涨次新大黑马*数字认证*星网宇达*科信技术
"
11,4300,2017-01-23,强势涨停机构游资敢死队疯狂抢筹高送转暴涨次新,"
                            
                            强势涨停机构游资敢死队疯狂抢筹高送转暴涨次新大黑马*同为股份*美联新材*天龙股份
"
251,192792,2017-12-28,2018年行情展望。,"
                            
                            2017年2月2日在股吧发了一篇2017年行情展望的文章，当时大盘指数3150点左右，文章原话复制一段；（首先我认为技术面看2017年难有大的行情。3300点到3400点是2017年的反弹的阻力区域）。以上是当时2月2日文章原话，所以后来大盘运行到3300附近我当时就认为头部可能形成了，后来大盘最高冲到3450才见顶回落，我也就停止了一段时间发文，这段时间在反思对2017年对大盘头部分析上的偏差，首先2017年2月2日已谈到技术面看2017年难有大的行情，对2017年的股市不是很看好，那么有人说了，你不看好为什么大盘反弹超出你的预期呢，我认为2017年的股市是一个畸形的市场（我反思2017的失误是没有早些发现蓝筹股的局部牛市），就像一个股民说的指数涨到3400点可手里的股票反而跌了百分之20以上。2017年管理层为了发大量新股，大力宣传蓝筹股的价值投资导致百分之20左右的蓝筹股走出一波局部牛市，而大部分中小盘股票反复下跌，不少股票如创业板早已把2016年大盘2638点的低点跌破。我相信2017年百分之90以上的股民是亏钱的。每年都会有新的特点要去发现。 现在大家都关心2018年行情是否有转机，以下结合技术面谈谈我的观点，短线看大盘3260附近几次探底企稳后预计已形成阶段底部，今天大盘再次探底3260附近企稳，已展开元旦反弹行情，下午和明天如小幅回踩都是买入机会，明天预计收阳，节后反弹目标3350到3380区域，3400附近强阻力，2017年的高点3450不光是2017年的头部，也将是2018年难以逾越的高点。预计元旦后大盘再次受阻3350到3400附近。后面几个月大盘将考验3千点区域。短线看今天下午创业板涨幅不大，可选择超跌严重的有一定业绩的中小盘个股买入，明天或节后创业板有补涨可能，以后抢超跌反弹预计2018年创业板的机会也将好于炒高的蓝筹股。 
                        "
76,24039,2017-09-07,上证指数，未来两年走势图,"
                            
                            9月6日现阶段慢牛行情位置如图。未来牛最少20个月， 满仓持股。如果有剩余仓位，等待低吸。疯牛14个月，现在慢牛最少得两年，不用急，慢牛要慢慢来。 
"
7,9012,2017-12-27,"见证奇迹--日涨幅40多倍,最大震幅达167倍","
                            
                            今天上证50大跌近2%,但是却见证了期权板块的奇迹.50ETF认沽12月2847A合约（10001008）今天收涨4211%.盘中最大涨幅达到了5467%，一天涨幅接近55倍，如果按今天最低价到最高价(最低0.0003元到最高0.0501元)计算更是高达167倍，这种涨幅奇迹也只有期权板块能出现。财叔前面在20017年6月12日就发了贴子:＜10个交易日是涨幅超30倍,期权狂欢盛宴已开始!＞介绍了期权板块有可以小博大，要朋友们把握住这个史无前例的暴赚机会,用小钱一年抓获一二次这种暴涨机会就够了.(可查看6月12日的贴子)再次提示:有50万金融资产（包括股票和基金）的朋友们尽快去开好户，才有收获暴利的机会，期权交易时不限金额,买多少钱都可以,但根据资产规模有持仓上限.。目前期权跟股指期货一样还有持仓限制,等到全部松绑之时,交易会更活跃.开户资格:有50万以上金融资产,还要通过考试才能参与. 
"
5,1437,2017-12-27,17.12.27：庄家、机构种植着,"
                            
                            大棚菜，轮种轮收，一年四季有收获。
"
17,8433,2017-05-03,*ST锐电跌破两元 A股再现“一元股”,"
*ST锐电跌破两元 A股再现“一元股” 
                        "
14,4575,2017-05-03,“高送转”暗藏内幕交易 海润光伏前高管集体受,"
                            
                            “高送转”暗藏内幕交易 海润光伏前高管集体受罚 
                        "
13,7891,2017-05-03,海润光伏 大智慧纷纷“戴帽”,"
                            
                            海润光伏 大智慧纷纷“戴帽” 
                        "
13,4172,2017-05-03,金隅股份：关于公司主体及债券信用评级发生变化,"
金隅股份：关于公司主体及债券信用评级发生变化 
                        "
15,8220,2017-05-03,“1元股”再现ST股遭“滑铁卢” 市场是否正迎拐,"
                            
                            “1元股”再现、ST股遭“滑铁卢” 市场是否正迎拐点？ 
                        "
15,9234,2017-05-03,业绩亏损股价进入“一元股”行列 华锐风电,"
                            
                            业绩亏损公司股价进入“一元股”行列 华锐风电 
                        "
15,8821,2017-05-03,*ST锐电跌成1元股 陷31亿元亏损难挣扎,"
*ST锐电跌成1元股 陷31亿元亏损难挣扎 
                        "
12,7680,2017-05-03,京东方A:关于回购部分社会公众股份事项的进展公,"
京东方A:关于回购部分社会公众股份事项的进展公告 
                        "
15,8036,2017-05-03,格力电器国家队或减持家电、食品饮料、地产,"
格力电器国家队或减持家电、食品饮料、地产 
                        "
15,8687,2017-05-03,庞大集团涉嫌违反证券法律法规被证监会立案调查,"
庞大集团涉嫌违反证券法律法规被证监会立案调查 
                        "
16,6264,2017-05-03,庞大集团被证监会立案调查,"
庞大集团被证监会立案调查 
                        "
16,7854,2017-05-03,每年亏损数十亿元 华锐风电的“锅”谁来背,"
                            
                            每年亏损数十亿元 华锐风电的“锅”谁来背 
                        "
12,8377,2017-05-03,中国建筑重大项目公告,"
中国建筑重大项目公告 
                        "
15,5616,2017-05-03,廊坊发展拉响退市警报,"
                            
                            廊坊发展拉响退市警报 
                        "
16,8610,2017-05-03,*ST锐电跌停 成1元股,"
*ST锐电跌停 成1元股 
                        "
14,8747,2017-05-03,1元股再现江湖 5元以下股“狂增”,"
                            
                            1元股再现江湖 5元以下股“狂增” 
                        "
17,7933,2017-05-03,华锐风电披星戴帽 *ST锐电成“1元股”,"
                            
                            华锐风电披星戴帽 *ST锐电成“1元股” 
                        "
18,8777,2017-05-03,华锐风电：亏损31亿 将被实施退市风险警示,"
                            
                            华锐风电：亏损31亿 将被实施退市风险警示 
                        "
19,7681,2017-05-03,有一大批股票即将进入1元股,"
                            
                            有一大批股票即将进入1元股 
                        "
11,7788,2017-05-04,庞大集团“被立案调查”股东踩雷,"
庞大集团“被立案调查”股东踩雷 
                        "
18,8338,2017-05-03,华锐风电遭大股东减持,"
                            
                            华锐风电遭大股东减持 
                        "
10,7921,2017-05-04,河钢股份机构专用席位净卖出16.4亿 疑似证金清,"
河钢股份机构专用席位净卖出16.4亿 疑似证金清仓减持 
                        "
11,4633,2017-05-04,机构加速撤离雄安概念 华夏幸福遭近60亿抛盘,"
                            
                            机构加速撤离雄安概念 华夏幸福遭近60亿抛盘 
                        "
12,4766,2017-05-04,格力电器 证金公司大幅减持退出前十大股东,"
格力电器 证金公司大幅减持退出前十大股东 
                        "
9,7008,2017-05-04,首创股份涨停 一机构卖出,"
首创股份涨停 一机构卖出 
                        "
10,7379,2017-05-04,京东方A:关于董事辞职的公告,"
京东方A:关于董事辞职的公告 
                        "
11,7319,2017-05-04,先河环保汇添富减持,"
先河环保汇添富减持 
                        "
12,4716,2017-05-04,*ST海润跌停 A股1元股继续增,"
*ST海润跌停 A股1元股继续增 
                        "
10,7317,2017-05-04,富达国际及贝莱德基金各减持金隅股份3785万股及,"
                            
                            富达国际及贝莱德基金各减持金隅股份3785万股及3224万股 
                        "
12,3863,2017-05-04,消息称乐视体育副董事长马国力离职,"
                            
                            消息称乐视体育副董事长马国力离职 
                        "
10,7418,2017-05-04,雄安新区个股普遍回调 冀东装备大幅回落,"
                            
                            雄安新区个股普遍回调 冀东装备大幅回落 
                        "
9,6943,2017-05-04,广州港营收增长净利下滑,"
广州港营收增长净利下滑 
                        "
11,4547,2017-05-04,廊坊发展去年亏损2479万元将实施退市风险警示,"
                            
                            廊坊发展：去年亏损2479万元 将实施退市风险警示 
                        "
10,6973,2017-05-04,中小房企陷盈利困境：三天内两房企戴帽“*ST”,"
                            
                            中小房企陷盈利困境：三天内两房企戴帽“*ST” 
                        "
9,6816,2017-05-04,中化岩土:股票交易异常波动公告,"
中化岩土:股票交易异常波动公告 
                        "
21,3709,2017-05-04,新兴铸管涨停,"
新兴铸管涨停 
                        "
9,7448,2017-05-04,锦龙股份继续一字跌停,"
锦龙股份继续一字跌停 
                        "
9,7490,2017-05-04,北新路桥三日两涨停,"
北新路桥三日两涨停 
                        "
9,7826,2017-05-05,锦龙股份原董事长涉嫌单位行贿被起诉,"
锦龙股份原董事长涉嫌单位行贿被起诉 
                        "
12,5146,2017-05-05,上交所：共对83起证券异常行为进行调查 涉及证,"
                            
                            上交所：共对83起证券异常行为进行调查 涉及证券83只 
                        "
10,8050,2017-05-05,证监会对4宗案件作出行政处罚 涉及方正证券等上,"
                            
                            证监会对4宗案件作出行政处罚 涉及方正证券等上市公司 
                        "
10,8277,2017-05-05,证监会联席会议组织召开清理整顿各类交易场所“,"
                            
                            证监会联席会议组织召开清理整顿各类交易场所“回头看”工作交流会 
                        "
8,6819,2017-05-05,深交所：近一周共对8宗违规行为发出监管函,"
                            
                            深交所：近一周共对8宗违规行为发出监管函 
                        "
10,4312,2017-05-05,惊呆！好多大盘股也加速下跌,"
                            
                            惊呆！好多大盘股也加速下跌 
                        "
9,6998,2017-05-05,上交所：继续加强监管 抑制“脱实向虚”不良倾,"
                            
                            上交所：继续加强监管 抑制“脱实向虚”不良倾向 
                        "
9,7666,2017-05-05,证监会召开清理整顿各类交易场所交流会 切实维,"
                            
                            证监会召开清理整顿各类交易场所交流会 切实维护金融安全 
                        "
26,9279,2017-05-05,刘士余：对交易场所分类处置 该关闭的坚决关闭,"
                            
                            刘士余：对交易场所分类处置 该关闭的坚决关闭 
                        "
3,6458,2017-08-26,西红柿番茄子哈哈哈,"

"
