标题,链接,房屋总价,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,房屋类型,交易权属,参考首付,税费总计,是否唯一,税费描述
青城家园 6室2厅3卫 ,http://hz.58.com/ershoufang/33386878928069x.shtml,172                                万（单价13385                                元/㎡）,6室2厅3卫,128.5㎡,南北,高层/共6层,中等装修,70年,,普通住宅,商品房,51.6                                万（月供4937元/月）,,,
缤纷北苑 1室1厅1卫 ,http://hz.58.com/ershoufang/33386727086663x.shtml,195                                万（单价36792                                元/㎡）,1室1厅1卫,53㎡,南北,低层/共7层,中等装修,70年,,普通住宅,商品房,58.5                                万（月供5597元/月）,,,
一小，郁达夫中学花坞南路 2室2厅1卫 ,http://hz.58.com/ershoufang/33386701293385x.shtml,103                                万（单价17758                                元/㎡）,2室2厅1卫,58㎡,南北,中层/共6层,中等装修,70年,,普通住宅,商品房,30.9                                万（月供2957元/月）,,,
德意空港国际 3室2厅1卫 ,http://hz.58.com/ershoufang/33385981705540x.shtml,165                                万（单价18539                                元/㎡）,3室2厅1卫,89㎡,南北,低层/共15层,中等装修,70年,,普通住宅,商品房,49.5                                万（月供4734元/月）,,,
沁园雅舍生活馆 1室1卫 ,http://hz.58.com/ershoufang/31985440160429x.shtml,85                                万（单价20596                                元/㎡）,1室1厅1卫,41.27㎡,,低层/共15层,中等装修,40年,,,商住两用,25.5                                万（月供2438元/月）,,,
椒江光明小区 ：复式，东灿 ,http://hz.58.com/ershoufang/33385829968683x.shtml,165                                万（单价7333                                元/㎡）,5室2厅2卫,225㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,49.5                                万（月供4734元/月）,,,
柯家湾小区 2室2厅1卫 ,http://hz.58.com/ershoufang/33385616593842x.shtml,50                                万（单价7812                                元/㎡）,2室2厅1卫,64㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,15                                万（月供1434元/月）,,,
经建绅世郡(公寓) 4室2厅3卫 ,http://hz.58.com/ershoufang/33385065778754x.shtml,290                                万（单价21402                                元/㎡）,4室2厅3卫,135.5㎡,南北,高层/共26层,中等装修,40年,,公寓,商品房,87                                万（月供8322元/月）,,,
房主诚心出让急售东田小城之春 3室2厅1卫 ,http://hz.58.com/ershoufang/33190404223666x.shtml,245                                万（单价21304                                元/㎡）,3室2厅1卫,115㎡,南北,低层/共6层,中等装修,70年,,普通住宅,商品房,73.5                                万（月供7030元/月）,,,
嘉凯诚名城博园 1室0厅0卫 ,http://hz.58.com/ershoufang/33308470550084x.shtml,120                                万（单价33333                                元/㎡）,1室0厅0卫,36㎡,南,共1层,中等装修,40年,,其他,商品房,36                                万（月供3445元/月）,,,
富阳肖邦二期(贵人楼)出售 3室2厅2卫 ,http://hz.58.com/ershoufang/31087034056133x.shtml,338                                万（单价24142                                元/㎡）,3室2厅2卫,140㎡,南,中层/共15层,中等装修,70年,,普通住宅,商品房,101.4                                万（月供9701元/月）,,,
余杭街道教工宿舍7一4一601 3室2厅1卫 ,http://hz.58.com/ershoufang/33379815070793x.shtml,168                                万（单价18687                                元/㎡）,3室2厅1卫,89.9㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,50.4                                万（月供4820元/月）,,,
余杭街道教工宿舍7一4一601 3室2厅1卫 ,http://hz.58.com/ershoufang/33379815071051x.shtml,168                                万（单价18687                                元/㎡）,3室2厅1卫,89.9㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,50.4                                万（月供4820元/月）,,,
余杭街道教工宿舍7一4一601 3室2厅1卫 ,http://hz.58.com/ershoufang/33379815071052x.shtml,168                                万（单价18687                                元/㎡）,3室2厅1卫,89.9㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,50.4                                万（月供4820元/月）,,,
枫林半岛(别墅) 5室2厅2卫 ,http://hz.58.com/ershoufang/33331615518767x.shtml,150                                万（单价14563                                元/㎡）,5室2厅2卫,103㎡,南北,共2层,中等装修,70年,,普通住宅,商品房,45                                万（月供4304元/月）,,,
花城名苑(东区) 2室1厅1卫 ,http://hz.58.com/ershoufang/33378864677298x.shtml,122                                万（单价23018                                元/㎡）,2室1厅1卫,53㎡,南北,中层/共6层,中等装修,70年,,普通住宅,经济适用房,36.6                                万（月供3500元/月）,,,
临安区于濳镇金家花园 2室2厅1卫 ,http://hz.58.com/ershoufang/33378718911938x.shtml,75                                万（单价8333                                元/㎡）,2室2厅1卫,90㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,22.5                                万（月供2153元/月）,,,
九浪山花园 2室1厅1卫 ,http://hz.58.com/ershoufang/33252325470527x.shtml,130                                万（单价14772                                元/㎡）,2室1厅1卫,88㎡,南,高层/共11层,中等装修,70年,,普通住宅,商品房,39                                万（月供3730元/月）,,,
盈都江悦城 3室2厅1卫 ,http://hz.58.com/ershoufang/32866548345789x.shtml,140                                万（单价18666                                元/㎡）,3室2厅1卫,75㎡,南,低层/共33层,中等装修,70年,,普通住宅,商品房,42                                万（月供4019元/月）,,,
乐山红叶小区房子最大优点增送了28个平方可以自己 ,http://hz.58.com/ershoufang/33363448343340x.shtml,282                                万（单价21894                                元/㎡）,4室2厅2卫,128.8㎡,,中层/共20层,中等装修,70年,,,商品房,84.6                                万（月供8092元/月）,,,
江干区70年产权住宅90万 ,http://hz.58.com/ershoufang/33374669560252x.shtml,90                                万（单价22500                                元/㎡）,1室1厅1卫,40㎡,南,低层/共6层,中等装修,70年,,普通住宅,商品房,27                                万（月供2582元/月）,,,
临浦镇西江塘小区 3室2厅2卫 ,http://hz.58.com/ershoufang/33373998007599x.shtml,138                                万（单价11794                                元/㎡）,3室2厅2卫,117㎡,南,共5层,中等装修,70年,,普通住宅,商品房,41.4                                万（月供3961元/月）,,,
彩虹桥公安宿舍 3室2厅2卫 ,http://hz.58.com/ershoufang/33373671207991x.shtml,205                                万（单价17826                                元/㎡）,3室2厅2卫,115㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,61.5                                万（月供5882元/月）,,,
金城花园 5室2厅2卫 ,http://hz.58.com/ershoufang/33373619881528x.shtml,258                                万（单价11944                                元/㎡）,5室2厅2卫,216㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,77.4                                万（月供7405元/月）,,,
人民路 送大柴间 ,http://hz.58.com/ershoufang/33373605942063x.shtml,89                                万（单价9888                                元/㎡）,3室2厅1卫,90㎡,南,中层/共7层,中等装修,70年,,普通住宅,商品房,26.7                                万（月供2555元/月）,,,
清波花园 3室2厅1卫 ,http://hz.58.com/ershoufang/33373520764469x.shtml,105                                万（单价10500                                元/㎡）,3室2厅1卫,100㎡,南,中层/共7层,中等装修,70年,,普通住宅,商品房,31.5                                万（月供3012元/月）,,,
塘栖乐苑小区 2室1厅1卫 ,http://hz.58.com/ershoufang/33368734896953x.shtml,75                                万（单价12295                                元/㎡）,2室1厅1卫,61㎡,南,共5层,中等装修,70年,,普通住宅,商品房,22.5                                万（月供2153元/月）,,,
水榭花都 3室2厅2卫东边套 ,http://hz.58.com/ershoufang/33368718680501x.shtml,220                                万（单价15384                                元/㎡）,3室2厅2卫,143㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,66                                万（月供6315元/月）,,,
一小区 2室1厅1卫一楼带院子 ,http://hz.58.com/ershoufang/33368330044209x.shtml,65                                万（单价12399                                元/㎡）,2室1厅1卫,52.42㎡,南,共5层,中等装修,70年,,普通住宅,商品房,19.5                                万（月供1864元/月）,,,
后拔路 3室1厅1卫 ,http://hz.58.com/ershoufang/33366045336373x.shtml,85                                万（单价7727                                元/㎡）,3室1厅1卫,110㎡,南,高层/共6层,中等装修,50年,,其他,其他,25.5                                万（月供2438元/月）,,,
临天路 3室2厅1卫 ,http://hz.58.com/ershoufang/32722564350661x.shtml,133                                万（单价11271                                元/㎡）,3室2厅1卫,118㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,39.9                                万（月供3816元/月）,,,
青山鹤岭 2室2厅1卫中装带家电 ,http://hz.58.com/ershoufang/33365572829517x.shtml,108                                万（单价15000                                元/㎡）,2室2厅1卫,72㎡,南,高层/共11层,中等装修,70年,,普通住宅,商品房,32.4                                万（月供3098元/月）,,,
临浦镇小 3室1厅1卫 ,http://hz.58.com/ershoufang/33365537796145x.shtml,82                                万（单价11388                                元/㎡）,3室1厅1卫,72㎡,南,低层/共6层,中等装修,70年,,普通住宅,商品房,24.6                                万（月供2352元/月）,,,
塘栖乐苑小区 3室1厅1卫 ,http://hz.58.com/ershoufang/33364237220409x.shtml,92                                万（单价12266                                元/㎡）,3室1厅1卫,75㎡,南,共5层,中等装修,70年,,普通住宅,商品房,27.6                                万（月供2641元/月）,,,
临江绿苑 3室1厅2卫（简装修）诚心出售 ,http://hz.58.com/ershoufang/33307512854959x.shtml,150                                万（单价11415                                元/㎡）,3室1厅2卫,131.4㎡,南,低层/共6层,中等装修,70年,,普通住宅,商品房,45                                万（月供4304元/月）,,,
龙潭小区四楼 2室2厅1卫 ,http://hz.58.com/ershoufang/33363733486278x.shtml,115                                万（单价13218                                元/㎡）,2室2厅1卫,87㎡,南,中层/共7层,中等装修,70年,,公寓,经济适用房,34.5                                万（月供3301元/月）,,,
文三路103号小区 2室1厅1卫 ,http://hz.58.com/ershoufang/33363263820869x.shtml,352                                万（单价67291                                元/㎡）,2室1厅1卫,52.31㎡,南,中层/共6层,中等装修,70年,,普通住宅,商品房,105.6                                万（月供10103元/月）,,,
西边套，大三房，精装修，满两年省17.64万税， ,http://hz.58.com/ershoufang/33362845966531x.shtml,315                                万（单价23863                                元/㎡）,3室2厅2卫,132㎡,南北,中层/共18层,中等装修,70年,2016年,普通住宅,商品房,94.5                                万（月供9041元/月）,,,
房东急售 海宁市中心地铁房低于市场价出售，配套齐 ,http://hz.58.com/ershoufang/33356174946884x.shtml,68                                万（单价7906                                元/㎡）,3室2厅1卫,86㎡,南北,中层/共15层,中等装修,70年,2012年,普通住宅,商品房,20.4                                万（月供1950元/月）,,,
临安万乐西苑 3室2厅2卫 ,http://hz.58.com/ershoufang/33354967588924x.shtml,170                                万（单价12592                                元/㎡）,3室2厅2卫,135㎡,南,高层/共7层,中等装修,70年,,普通住宅,商品房,51                                万（月供4878元/月）,,,
平和家园 3室2厅2卫於潜高速出口处 ,http://hz.58.com/ershoufang/33255781725776x.shtml,98                                万（单价5730                                元/㎡）,3室2厅2卫,171㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,29.4                                万（月供2813元/月）,,,
萧山高桥小区 急售，价优1室1厅1卫 ,http://hz.58.com/ershoufang/32743856640971x.shtml,145                                万（单价30851                                元/㎡）,1室1厅1卫,47㎡,南,共5层,中等装修,70年,,公寓,商品房,43.5                                万（月供4160元/月）,,,
只要140万哦！多给都不要！4.8米层高住宅式公 ,http://hz.58.com/ershoufang/33354752036537x.shtml,140                                万（单价16867                                元/㎡）,2室2厅2卫,83㎡,南,中层/共19层,中等装修,40年,2010年,普通住宅,商住两用,42                                万（月供4019元/月）,,,
欣北钱江国际广场 户型正气楼层佳 ,http://hz.58.com/ershoufang/33354513312204x.shtml,70                                万（单价12522                                元/㎡）,1室2厅1卫,55.9㎡,北,高层/共22层,中等装修,70年,2012年,普通住宅,商品房,21                                万（月供2008元/月）,,,
余杭，珍品现房，高铁，地铁，家门口就是，看房联系 ,http://hz.58.com/ershoufang/33354514106435x.shtml,180                                万（单价21686                                元/㎡）,2室2厅1卫,83㎡,南,中层/共27层,中等装修,70年,2015年,普通住宅,商品房,54                                万（月供5167元/月）,,,
精装修loft52平送52平天际湾 1室1厅1卫 ,http://hz.58.com/ershoufang/33354261636302x.shtml,90                                万（单价17307                                元/㎡）,1室1厅1卫,52㎡,北,中层/共18层,中等装修,40年,,公寓,其他,27                                万（月供2582元/月）,,,
出售九曲营路 三开间朝南得房率超高无营业税 ,http://hz.58.com/ershoufang/33332158279222x.shtml,165                                万（单价19411                                元/㎡）,5室0厅3卫,85㎡,南北,高层/共6层,中等装修,70年,,普通住宅,商品房,49.5                                万（月供4734元/月）,,,
美上商业中心 2室 ,http://hz.58.com/ershoufang/31681412773443x.shtml,140                                万（单价23720                                元/㎡）,2室1厅1卫,59.02㎡,,高层/共12层,中等装修,40年,,,商品房,42                                万（月供4019元/月）,,,
崇化小区 2室1厅1卫135万 ,http://hz.58.com/ershoufang/33353289436358x.shtml,135                                万（单价23684                                元/㎡）,2室1厅1卫,57㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,40.5                                万（月供3875元/月）,,,
出售闲林街道乐山红叶小区 4室2厅2卫 ,http://hz.58.com/ershoufang/33353131353129x.shtml,265                                万（单价20703                                元/㎡）,4室2厅2卫,128㎡,南,中层/共20层,中等装修,70年,,普通住宅,商品房,79.5                                万（月供7604元/月）,,,
华光宾馆旁 3室2厅1卫 ,http://hz.58.com/ershoufang/33352871061810x.shtml,135                                万（单价12500                                元/㎡）,3室2厅1卫,108㎡,南,中层/共7层,中等装修,70年,,普通住宅,商品房,40.5                                万（月供3875元/月）,,,
橄榄树北区 送独立汽车库 ,http://hz.58.com/ershoufang/33352582506306x.shtml,220                                万（单价19469                                元/㎡）,3室2厅2卫,113㎡,南,中层/共6层,中等装修,70年,,普通住宅,商品房,66                                万（月供6315元/月）,,,
星雅嘉园逸景园 3室2厅2卫 ,http://hz.58.com/ershoufang/32726965224654x.shtml,240                                万（单价17921                                元/㎡）,3室2厅2卫,133.92㎡,南,中层/共16层,中等装修,70年,,普通住宅,商品房,72                                万（月供6889元/月）,,,
秋涛北路322号 3室1厅1卫 ,http://hz.58.com/ershoufang/33351894331588x.shtml,320                                万（单价40450                                元/㎡）,3室1厅1卫,79.11㎡,南北,中层/共7层,中等装修,70年,,普通住宅,商品房,96                                万（月供9185元/月）,,,
秋涛北路322号 3室1厅1卫 ,http://hz.58.com/ershoufang/33351894223182x.shtml,320                                万（单价40450                                元/㎡）,3室1厅1卫,79.11㎡,南北,中层/共7层,中等装修,70年,,普通住宅,商品房,96                                万（月供9185元/月）,,,
房东发布 恒基旭辉府 3室2厅2卫 ,http://hz.58.com/ershoufang/33311279434949x.shtml,245                                万（单价24019                                元/㎡）,3室2厅2卫,102㎡,南,中层/共8层,中等装修,70年,,普通住宅,商品房,73.5                                万（月供7030元/月）,,,
出售南苑二区 离临平地铁站口步行三分钟 ,http://hz.58.com/ershoufang/33351502931891x.shtml,230                                万（单价20535                                元/㎡）,3室2厅2卫,112㎡,南北,高层/共6层,中等装修,70年,,公寓,商品房,69                                万（月供6600元/月）,,,
杭州大江东河庄帝景园 2室2厅1卫 ,http://hz.58.com/ershoufang/33351217187517x.shtml,170                                万（单价18888                                元/㎡）,2室2厅1卫,90㎡,南,低层/共6层,中等装修,70年,,普通住宅,商品房,51                                万（月供4878元/月）,,,
杭州大江东河庄帝景园 2室2厅1卫 ,http://hz.58.com/ershoufang/33351202002987x.shtml,160                                万（单价17977                                元/㎡）,2室2厅1卫,89㎡,南,中层/共11层,中等装修,70年,,普通住宅,商品房,48                                万（月供4593元/月）,,,
半山金隅田圆外 2室2厅1卫 ,http://hz.58.com/ershoufang/33346214165693x.shtml,250                                万（单价28089                                元/㎡）,2室2厅1卫,89㎡,,高层/共22层,中等装修,70年,,,商品房,75                                万（月供7174元/月）,,,
农村自建房 5室1厅4卫 ,http://hz.58.com/ershoufang/33238233968703x.shtml,238                                万（单价15866                                元/㎡）,5室1厅4卫,150㎡,南,共2层,中等装修,70年,,别墅,使用权,71.4                                万（月供6831元/月）,,,
浣纱路小区 3室2厅1卫 ,http://hz.58.com/ershoufang/33344976556750x.shtml,618                                万（单价60000                                元/㎡）,3室2厅1卫,103㎡,南,低层/共6层,中等装修,70年,,普通住宅,商品房,185.4                                万（月供17737元/月）,,,
余杭余杭周边石油地质宿舍 2室2厅1卫 58平米 ,http://hz.58.com/ershoufang/33344717660458x.shtml,120                                万（单价20689                                元/㎡）,2室2厅1卫,58㎡,南北,共4层,中等装修,70年,2008年,普通住宅,商品房,36                                万（月供3445元/月）,,,
潘水小区 3室2厅1卫 ,http://hz.58.com/ershoufang/32911604469323x.shtml,242                                万（单价24693                                元/㎡）,3室2厅1卫,98㎡,南,中层/共6层,中等装修,70年,,普通住宅,商品房,72.6                                万（月供6944元/月）,,,
宏河嘉园 3室2厅2卫出售 ,http://hz.58.com/ershoufang/33344127176617x.shtml,175                                万（单价12280                                元/㎡）,3室2厅2卫,142.5㎡,西,共5层,中等装修,70年,,普通住宅,商品房,52.5                                万（月供5023元/月）,,,
北景月桂苑 268万元 89.24方 精装三房  ,http://hz.58.com/ershoufang/33343816794173x.shtml,268                                万（单价30031                                元/㎡）,3室2厅1卫,89.24㎡,南北,共5层,中等装修,70年,,普通住宅,商品房,80.4                                万（月供7690元/月）,3万,唯一,1
雷迪森旁大成名座大三房南北通透带超大阳台民用水电 ,http://hz.58.com/ershoufang/33342745886891x.shtml,190                                万（单价13571                                元/㎡）,3室2厅2卫,140㎡,南北,高层/共27层,中等装修,40年,2008年,普通住宅,商品房,57                                万（月供5452元/月）,,,
空港国际 3室2厅2卫 出售 ,http://hz.58.com/ershoufang/33341943171139x.shtml,195                                万（单价16115                                元/㎡）,3室2厅2卫,121㎡,,高层/共15层,中等装修,70年,,,商品房,58.5                                万（月供5597元/月）,,,
锦绣山水苑 3室2厅2卫 ,http://hz.58.com/ershoufang/33341927651886x.shtml,200                                万（单价14705                                元/㎡）,3室2厅2卫,136㎡,南,高层/共11层,中等装修,70年,,普通住宅,商品房,60                                万（月供5741元/月）,,,
蚕花园永宁坊 2室1厅1卫 ,http://hz.58.com/ershoufang/33341714034613x.shtml,134                                万（单价31904                                元/㎡）,2室1厅1卫,42㎡,南北,中层/共7层,中等装修,70年,,普通住宅,商品房,40.2                                万（月供3844元/月）,,,
汇盛德保 3室2厅1卫 ,http://hz.58.com/ershoufang/33341057572154x.shtml,350                                万（单价31127                                元/㎡）,3室2厅1卫,112.44㎡,东,低层/共16层,中等装修,70年,,普通住宅,商品房,105                                万（月供10044元/月）,,,
万盛商贸城公寓 2室1厅2卫 ,http://hz.58.com/ershoufang/33340913329485x.shtml,45                                万（单价10975                                元/㎡）,2室1厅2卫,41㎡,北,高层/共16层,中等装修,50年,,公寓,经济适用房,13.5                                万（月供1290元/月）,,,
金龙花园 3室2厅2卫 黄金地带 ,http://hz.58.com/ershoufang/33340690094911x.shtml,152                                万（单价12991                                元/㎡）,3室2厅2卫,117㎡,南,中层/共7层,中等装修,70年,,普通住宅,公房,45.6                                万（月供4363元/月）,,,
杭州市富阳区洞桥镇袁家村 6室1厅3卫 ,http://hz.58.com/ershoufang/32535747219894x.shtml,128                                万（单价4000                                元/㎡）,6室1厅3卫,320㎡,,共3层,中等装修,70年,,,经济适用房,38.4                                万（月供3672元/月）,,,
浙江省杭州市桐庐县瑶 6室3厅4卫 330平米 ,http://hz.58.com/ershoufang/33222069815107x.shtml,210                                万（单价6363                                元/㎡）,6室3厅4卫,330㎡,南,共3层,中等装修,70年,,别墅,其他,63                                万（月供6026元/月）,,,
临平新城都市丽景 3室2厅2卫 ,http://hz.58.com/ershoufang/32865721033130x.shtml,260                                万（单价19686                                元/㎡）,3室2厅2卫,132.07㎡,南,高层/共6层,中等装修,70年,,普通住宅,商品房,78                                万（月供7463元/月）,,,
淳安新安大街48号 2室1厅1卫 63.2平米 ,http://hz.58.com/ershoufang/32870019892930x.shtml,63                                万（单价9968                                元/㎡）,2室1厅1卫,63.2㎡,南,中层/共6层,中等装修,70年,,普通住宅,商品房,18.9                                万（月供1809元/月）,,,
景湖花园 3室2厅3卫 ,http://hz.58.com/ershoufang/33334558287056x.shtml,330                                万（单价18333                                元/㎡）,3室2厅3卫,180㎡,南北,共3层,中等装修,50年,,排屋,商品房,99                                万（月供9470元/月）,,,
怡佳公寓 价格可谈 ,http://hz.58.com/ershoufang/33091733643722x.shtml,480                                万（单价30678                                元/㎡）,4室2厅2卫,156.46㎡,南,低层/共6层,中等装修,70年,,公寓,商品房,144                                万（月供13777元/月）,,,
闲林镇上 经典两房 得房率高 南边通透 ,http://hz.58.com/ershoufang/33334082553040x.shtml,116                                万（单价19333                                元/㎡）,2室2厅1卫,60㎡,南北,共5层,中等装修,70年,,普通住宅,商品房,34.8                                万（月供3328元/月）,,,
靖江空港小区 2室1厅1卫 ,http://hz.58.com/ershoufang/33333784416175x.shtml,139                                万（单价15617                                元/㎡）,2室1厅1卫,89㎡,南,共1层,中等装修,70年,,普通住宅,商品房,41.7                                万（月供3988元/月）,,,
塘栖好房源，机不可失 ,http://hz.58.com/ershoufang/33333453899050x.shtml,150                                万（单价16666                                元/㎡）,2室2厅1卫,90㎡,南,低层/共6层,中等装修,70年,,普通住宅,商品房,45                                万（月供4304元/月）,,,
江东锦绣名座 2室2厅1卫 ,http://hz.58.com/ershoufang/33332279861942x.shtml,170                                万（单价19101                                元/㎡）,2室2厅1卫,89㎡,南北,共4层,中等装修,70年,,普通住宅,商品房,51                                万（月供4878元/月）,,,
至高钱塘一品 2室2厅1卫 ,http://hz.58.com/ershoufang/33331914961484x.shtml,162                                万（单价18202                                元/㎡）,2室2厅1卫,89㎡,南北,共5层,中等装修,70年,,普通住宅,商品房,48.6                                万（月供4648元/月）,,,
梅湾村 8室3厅9卫 500平米 ,http://hz.58.com/ershoufang/32889650299947x.shtml,130                                万（单价2600                                元/㎡）,8室3厅9卫,500㎡,南,共2层,中等装修,,,其他,其他,39                                万（月供3730元/月）,,,
塘栖一小区 2室2厅2卫带一个小车库 ,http://hz.58.com/ershoufang/33331681542317x.shtml,115                                万（单价11979                                元/㎡）,2室2厅2卫,96㎡,南,共5层,中等装修,70年,,普通住宅,商品房,34.5                                万（月供3301元/月）,,,
艾肯金座 1室1厅1卫 ,http://hz.58.com/ershoufang/33331605260215x.shtml,48                                万（单价12000                                元/㎡）,1室1厅1卫,40㎡,,高层/共18层,中等装修,50年,,,商品房,14.4                                万（月供1376元/月）,,,
塘栖嘉苑 4室2厅2卫 ,http://hz.58.com/ershoufang/33330767295812x.shtml,198                                万（单价12375                                元/㎡）,4室2厅2卫,160㎡,南,中层/共10层,中等装修,70年,,普通住宅,商品房,59.4                                万（月供5683元/月）,,,
桂花城(别墅 5室3厅3卫） ,http://hz.58.com/ershoufang/33330329141952x.shtml,800                                万（单价25157                                元/㎡）,5室3厅3卫,318㎡,南,共3层,中等装修,70年,,别墅,商品房,240                                万（月供22961元/月）,,,
锦秀兰庭 3室2厅2卫 ,http://hz.58.com/ershoufang/33329941385667x.shtml,198                                万（单价16229                                元/㎡）,3室2厅2卫,122㎡,南,共1层,中等装修,70年,,普通住宅,商品房,59.4                                万（月供5683元/月）,,,
桐庐金龙花园 3室2厅2卫 ,http://hz.58.com/ershoufang/33329475850829x.shtml,148                                万（单价11746                                元/㎡）,3室2厅2卫,126㎡,南,低层/共6层,中等装修,70年,,普通住宅,商品房,44.4                                万（月供4246元/月）,,,
临安绿城钱王文化广场 3室2厅2卫 149.5平 ,http://hz.58.com/ershoufang/32102215223978x.shtml,248                                万（单价16588                                元/㎡）,3室2厅2卫,149.5㎡,南,低层/共26层,中等装修,70年,2013年,公寓,商品房,74.4                                万（月供7116元/月）,,,
临安江南商城 1室1厅1卫 42平米 朝南精装个 ,http://hz.58.com/ershoufang/33323757715002x.shtml,45                                万（单价10714                                元/㎡）,1室1厅1卫,42㎡,南,共5层,中等装修,40年,2005年,公寓,商品房,13.5                                万（月供1290元/月）,,,
7小和富春中学 江边天河花园 ,http://hz.58.com/ershoufang/33323069213750x.shtml,325                                万（单价20967                                元/㎡）,3室2厅2卫,155㎡,南北,中层/共8层,中等装修,70年,,普通住宅,商品房,97.5                                万（月供9326元/月）,,,
锦昌年华 3室2厅2卫 ,http://hz.58.com/ershoufang/33321637739964x.shtml,190                                万（单价30020                                元/㎡）,3室2厅2卫,63.29㎡,南北,高层/共14层,中等装修,70年,,普通住宅,商品房,57                                万（月供5452元/月）,,,
庙山新村 2室2厅1卫诚心出售 ,http://hz.58.com/ershoufang/33320948216908x.shtml,110                                万（单价18333                                元/㎡）,2室2厅1卫,60㎡,南,共5层,中等装修,70年,,普通住宅,商品房,33                                万（月供3156元/月）,,,
青山鹤岭 3室2厅1卫 ,http://hz.58.com/ershoufang/33320937425070x.shtml,158                                万（单价16288                                元/㎡）,3室2厅1卫,97㎡,,中层/共18层,中等装修,70年,,,商品房,47.4                                万（月供4535元/月）,,,
回澜北苑 单价低，急售 ,http://hz.58.com/ershoufang/33320396324540x.shtml,288                                万（单价18947                                元/㎡）,4室2厅2卫,152㎡,南,低层/共6层,中等装修,70年,,普通住宅,其他,86.4                                万（月供8264元/月）,,,
华元十六街区 2室1厅1卫 ,http://hz.58.com/ershoufang/33319142828852x.shtml,92                                万（单价10454                                元/㎡）,2室1厅1卫,88㎡,北,高层/共16层,中等装修,40年,,公寓,商品房,27.6                                万（月供2641元/月）,,,
锦昌年华 3室2厅2卫 ,http://hz.58.com/ershoufang/33319084508459x.shtml,250                                万（单价18115                                元/㎡）,3室2厅2卫,138㎡,南,高层/共16层,中等装修,70年,,普通住宅,商品房,75                                万（月供7174元/月）,,,
拱墅万达广场华盛达阅城 1室1厅1卫 53平米 ,http://hz.58.com/ershoufang/33318779287109x.shtml,130                                万（单价24528                                元/㎡）,1室1厅1卫,53㎡,南北,共5层,中等装修,40年,2012年,公寓,商品房,39                                万（月供3730元/月）,,,
桐庐富春江镇大萍洋社区 2室1厅1卫 63平米 ,http://hz.58.com/ershoufang/33318433184189x.shtml,50.4                                万（单价8000                                元/㎡）,2室1厅1卫,63㎡,南,共3层,中等装修,70年,2000年,普通住宅,商品房,15.12                                万（月供1447元/月）,,,
建国路地铁口，天园阁 2室1厅1卫（资金周转，贷 ,http://hz.58.com/ershoufang/32391138156849x.shtml,305                                万（单价37195                                元/㎡）,2室1厅1卫,82㎡,东北,中层/共20层,中等装修,70年,,普通住宅,商品房,91.5                                万（月供8752元/月）,,,
迪凯运河印象 4室3厅4卫买一层送一层 ,http://hz.58.com/ershoufang/33313024103370x.shtml,195                                万（单价25657                                元/㎡）,4室3厅4卫,76㎡,南,低层/共18层,中等装修,40年,,公寓,商品房,58.5                                万（月供5597元/月）,,,
萧山金地德圣中心 ,http://hz.58.com/ershoufang/33312874292418x.shtml,240                                万（单价13333                                元/㎡）,3室2厅1卫,180㎡,南,共3层,中等装修,40年,,其他,商品房,72                                万（月供6889元/月）,,,
天海阳光地带小区 3室2厅2卫 ,http://hz.58.com/ershoufang/33312780181581x.shtml,268                                万（单价25283                                元/㎡）,3室2厅2卫,106㎡,南,高层/共7层,中等装修,70年,,普通住宅,商品房,80.4                                万（月供7690元/月）,,,
杭州周边康城国际 3室2厅2卫 139平米 ,http://hz.58.com/ershoufang/33311354994377x.shtml,330                                万（单价23741                                元/㎡）,3室2厅2卫,139㎡,南北,低层/共18层,中等装修,70年,,普通住宅,其他,99                                万（月供9470元/月）,,,
奥体在售一手别墅 一手新房 只需一个契税 总价八 ,http://hz.58.com/ershoufang/33311071193024x.shtml,868                                万（单价38407                                元/㎡）,5室3厅3卫,226㎡,南北,共5层,中等装修,70年,2014年,公寓,商品房,260.4                                万（月供24910元/月）,,,
三墩城北商贸园温州村地铁口近浙大 三房 中装 无 ,http://hz.58.com/ershoufang/33310687543613x.shtml,320                                万（单价30876                                元/㎡）,3室2厅1卫,103.64㎡,南,高层/共6层,中等装修,70年,1999年,普通住宅,商品房,96                                万（月供9185元/月）,,,
中和北宸府 4室2厅2卫 ,http://hz.58.com/ershoufang/32624615281213x.shtml,260                                万（单价20312                                元/㎡）,4室2厅2卫,128㎡,南北,高层/共16层,中等装修,70年,,公寓,商品房,78                                万（月供7463元/月）,,,
